time_ms,node_id,name,type,ecef_x,ecef_y,ecef_z,altitude_km,orbit_id,ip,radius_km
121000,SAT_08,STARLINK-5564,SAT,-2087641.93,5271394.47,3990225.23,562.06,-1,10.0.3.8,6933.0906435996685
121000,SAT_09,STARLINK-32545,SAT,-1721495.62,5439290.94,3802418.51,484.69,-1,10.0.3.9,6856.224881437007
121000,SAT_10,STARLINK-34752,SAT,-2357676.2,5997972.65,2325944.11,475.93,-1,10.0.3.10,6851.59317071863
121000,SAT_11,STARLINK-32596,SAT,-2228408.5,4887372.61,4247958.41,478.28,-1,10.0.3.11,6848.165164840885
121000,SAT_12,STARLINK-11641 [DTC],SAT,-1656944.56,5084565.7,4090261.63,362.42,-1,10.0.3.12,6732.645381600039
121000,SAT_13,STARLINK-5118,SAT,-2347115.26,5059059.85,4084169.6,541.91,-1,10.0.3.13,6912.559434187242
121000,SAT_14,STARLINK-31758,SAT,-2638990.57,5810701.94,2511249.8,482.94,-1,10.0.3.14,6858.199750814257
121000,SAT_15,STARLINK-35678,SAT,-1652849.14,6111879.61,2531472.06,443.57,-1,10.0.3.15,6818.7486709287905
121000,SAT_16,STARLINK-6047,SAT,-2172625.34,5823270.78,3109448.99,575.94,-1,10.0.3.16,6949.781037315057
121000,SAT_17,STARLINK-4153,SAT,-1786085.05,5774529.52,3356783.58,540.91,-1,10.0.3.17,6913.992116436244
121000,SAT_18,STARLINK-35760,SAT,-1406382.09,5609627.26,3669536.84,477.21,-1,10.0.3.18,6849.184564554021
121000,SAT_19,STARLINK-3130,SAT,-2358962.22,5435422.03,3561754.07,540.92,-1,10.0.3.19,6913.364409226396
121000,SAT_20,STARLINK-3725,SAT,-1472321.88,5965988.64,3169569.11,540.63,-1,10.0.3.20,6914.254877714733
121000,SAT_21,STARLINK-35776,SAT,-2198624.37,4752346.55,4412778.25,478.49,-1,10.0.3.21,6847.726537715117
121000,SAT_22,STARLINK-30951,SAT,-2719629.33,5851160.25,2539578.38,558.86,-1,10.0.3.22,6934.112654978987
121000,SAT_23,STARLINK-31965,SAT,-2015430.42,4908881.98,4342699.98,487.44,-1,10.0.3.23,6856.976388155504
121000,SAT_24,STARLINK-32673,SAT,-1611908.41,5764429.33,3346736.46,484.64,-1,10.0.3.24,6857.662805612879
121000,SAT_25,STARLINK-2109,SAT,-1622397.3,6347130.75,2237462.09,546.86,-1,10.0.3.25,6922.750779916176
121000,SAT_26,STARLINK-5799,SAT,-2916230.77,5410298.68,3208434.44,559.7,-1,10.0.3.26,6933.237718878724
121000,SAT_27,STARLINK-32078,SAT,-2829220.82,5423410.66,3082783.77,476.13,-1,10.0.3.27,6849.921854145384
121000,SAT_28,STARLINK-30767,SAT,-1909834.6,5014226.03,4388613.64,562.26,-1,10.0.3.28,6931.800672298704
121000,SAT_29,STARLINK-33674,SAT,-1336494.68,5947657.53,3140849.94,483.9,-1,10.0.3.29,6857.535014087206
121000,SAT_30,STARLINK-1337,SAT,-2855676.66,5747621.32,2393264.81,474.14,-1,10.0.3.30,6849.653748575299
