time_ms,node_id,role,type,ecef_x,ecef_y,ecef_z,ip,heading_deg,battery_pct
420200,UAV_13,RELAY,UAV,-1338350.6,5363846.7,3171327.3,10.0.0.14,320.4,58.0
420200,UAV_14,RELAY,UAV,-1336847.1,5364024.3,3171658.9,10.0.0.15,245.8,58.0
420200,UAV_15,RELAY,UAV,-1336189.9,5364717.1,3170769.9,10.0.0.16,187.7,58.0
420200,UAV_16,RELAY,UAV,-1336543.2,5365154.2,3169887.2,10.0.0.17,142.1,58.0
420200,UAV_17,RELAY,UAV,-1337189.9,5365249.0,3169456.9,10.0.0.18,110.1,58.0
420200,UAV_18,RELAY,UAV,-1337692.1,5365192.1,3169342.1,10.0.0.19,90.6,58.0
420200,UAV_19,RELAY,UAV,-1337943.9,5365139.6,3169324.9,10.0.0.20,80.7,58.0
420200,UAV_20,CACHE,UAV,-1337952.9,5365158.1,3169290.1,10.0.0.21,80.4,58.0
420200,UAV_21,CACHE,UAV,-1337719.2,5365247.9,3169237.1,10.0.0.22,89.7,58.0
420200,UAV_22,RELAY,UAV,-1337233.8,5365351.2,3169266.7,10.0.0.23,107.3,58.0
420200,UAV_23,RELAY,UAV,-1336560.9,5365348.4,3169553.4,10.0.0.24,133.1,58.0
420200,UAV_24,RELAY,UAV,-1335953.9,5365087.4,3170246.4,10.0.0.25,165.8,58.0
420200,UAV_25,RELAY,UAV,-1335876.7,5364502.0,3171262.6,10.0.0.26,205.4,58.0
420200,UAV_26,RELAY,UAV,-1336732.4,5363795.7,3172091.0,10.0.0.27,250.5,58.0
420200,UAV_27,RELAY,UAV,-1338282.6,5363487.8,3171958.9,10.0.0.28,302.5,58.0
420200,UAV_28,RELAY,UAV,-1339318.3,5364028.2,3170616.7,10.0.0.29,1.3,58.0
420200,UAV_29,RELAY,UAV,-1338534.8,5365090.0,3169160.6,10.0.0.30,64.3,58.0
420200,UAV_30,RELAY,UAV,-1336439.0,5365477.7,3169387.2,10.0.0.31,132.7,58.0
420200,UAV_31,RELAY,UAV,-1335692.7,5364497.8,3171346.8,10.0.0.32,205.3,58.0
420200,UAV_32,RELAY,UAV,-1337709.8,5363423.5,3172307.1,10.0.0.33,283.4,58.0
420200,UAV_33,RELAY,UAV,-1339487.0,5364073.1,3170470.6,10.0.0.34,5.6,58.0
420200,UAV_34,RELAY,UAV,-1337703.7,5365480.3,3168853.0,10.0.0.35,92.0,58.0
420200,UAV_35,RELAY,UAV,-1335485.8,5364936.5,3170696.2,10.0.0.36,182.4,58.0
420200,UAV_36,RELAY,UAV,-1337492.4,5363396.0,3172444.4,10.0.0.37,277.0,58.0
420200,UAV_37,RELAY,UAV,-1339587.8,5364232.4,3170160.7,10.0.0.38,14.4,58.0
420200,UAV_38,RELAY,UAV,-1336817.9,5365647.5,3168943.1,10.0.0.39,115.8,58.0
420200,UAV_39,RELAY,UAV,-1335734.8,5364167.8,3171883.7,10.0.0.40,221.4,58.0
420200,UAV_40,RELAY,UAV,-1339239.3,5363460.3,3171604.3,10.0.0.41,329.8,58.0
420200,UAV_41,RELAY,UAV,-1338122.6,5365466.9,3168700.0,10.0.0.42,80.9,58.0
420200,UAV_42,RELAY,UAV,-1335306.3,5364706.4,3171158.1,10.0.0.43,196.1,58.0
420200,UAV_43,RELAY,UAV,-1338836.3,5363271.3,3172090.8,10.0.0.44,312.7,58.0
420200,UAV_44,RELAY,UAV,-1338436.5,5365393.8,3168691.3,10.0.0.45,73.4,58.0
420200,UAV_45,RELAY,UAV,-1335232.4,5364699.5,3171200.7,10.0.0.46,196.9,58.0
420200,UAV_46,RELAY,UAV,-1339158.0,5363301.6,3171905.1,10.0.0.47,321.7,58.0
420200,UAV_47,RELAY,UAV,-1337802.1,5365643.7,3168537.1,10.0.0.48,90.7,58.0
420200,UAV_48,RELAY,UAV,-1335526.0,5364146.4,3172007.2,10.0.0.49,221.0,58.0
420200,UAV_49,RELAY,UAV,-1339859.2,5363748.9,3170859.5,10.0.0.50,354.1,58.0
420200,UAV_50,RELAY,UAV,-1336220.2,5365789.2,3168955.3,10.0.0.51,128.6,58.0
420300,GS_01,CLIENT,GS,-1335860.7,5365682.5,3169285.4,10.0.0.1,-1.0,-1.0
420300,UAV_01,RELAY,UAV,-1337773.1,5364372.2,3170686.1,10.0.0.2,347.6,58.0
420300,UAV_02,RELAY,UAV,-1337521.2,5364238.0,3171017.2,10.0.0.3,278.6,58.0
